terrquadra,endereco,numero,obs
11A,R.Xapuri,
11A,R.Clevelândia,
11B,R.Caracaraí,
11B,Av.AntonioEstevãoDeCarvalho,
11B,R.Catrimani,
11B,R.Mazagão,
11C,R.Catrimani,
11C,Av.AntonioEstevãoDeCarvalho,
11C,R.Xapuri,
11C,R.Mazagão,
11D,R.Xapuri,
11D,Av.AntonioEstevãoDeCarvalho,
11D,PraçaGuajaráMirim,
11D,R.Mazagão,
11E,R.Xapuri,
11E,R.Mazagão,
11E,PassageTrav.DaServidão,
11E,R.Clevelândia,
11F,R.Araruama,
11F,R.Clevelândia,
11F,R.Magé,
11F,R.Rondônia,
12A,R.Dr.NiltonSilva,
12A,AvDr.LuizAires(Radial),
12A,R.Cmte.JulianoTena,
12A,Av.ParaguaçuPaulista,
12B,R.Cmte.JulianoTena,
12B,AvDr.LuizAires(Radial),
12B,R.MajorGomesRibeiro,
12B,Av.ParaguaçuPaulista,
12C,R.MajorGomesRibeiro,
12C,AvDr.LuizAires(Radial),
12C,R.Dr.PedroMendes,
12C,Av.ParaguaçuPaulista,
12D,R.Dr.PedroMendes,
12D,AvDr.LuizAires(Radial),
12D,R.DemervalLessa,
12D,Av.ParaguaçuPaulista,
12E,R.Dr.PedroMendes,
12E,Av.ParaguaçuPaulista,
12E,R. DemervalLessa,
12E,R.Des.RochaPortela,
12F,R.MajorGomesRibeiro,
12F,Av.ParaguaçuPaulista,
12F,R.Dr.PedroMendes,
12F,R.Des.RochaPortela,
12G,R.Cmte.JulianoTena,
12G,Av.ParaguaçuPaulista,
12G,R.MajorGomesRibeiro,
12G,R.Des.RochaPortela,
12H,R.Dr.NiltonSilva,
12H,Av.ParaguaçuPaulista,
12H,R.Cmte.JulianoTena,
12H,R.Des.RochaPortela,
13A,R.Magé,
13A,R.Clevelândia,
13A,PassageTrav.DaServidão,
13A,R.Mazagão,
13A,R.JoséBeneditoDaRosa,
13A,Av.Dr.PereiraVergueiro,
13A,PçaLeonardoDeBarrosCarvalho,
13A,Av.Eng.SoaresDeCamargo,
13B,R.JoséBeneditoDaRosa,
13B,R.JordãoDaCosta,
13B,Av.Dr.PereiraVergueiro,
13C,R.JoséBeneditoDaRosa,
13C,R.BartolomeuEsteves,
13C,Av.Dr.PereiraVergueiro,
13C,R.JordãoDaCosta,
13D,R.JoséBeneditoDaRosa,
13D,R.Pontal,
13D,Av.Dr.PereiraVergueiro,
13D,R.BartolomeuEsteves,
13E,PraçaGuajaráMirim,
13E,R.Pontal,
13E,R.JoséBeneditoDaRosa,
13E,R.Mazagão,
13F,PraçaGuajaráMirim,
13F,R.Brig.BritoDelamare,
13F,R.HenriqueJacobs,
13F,R.Dr.UrbanoPereira,
13F,R.Pontal,
13G,R.Dr.UrbanoPereira,
13G,R.HenriqueJacobs,
13G,R.Pontal,
14A,R.Des.RochaPortela,
14A,R.MajorGomesRibeiro,
14A,R.FernandesPereira,
14A,Av.AntonioEstevãoDeCarvalho,
14B,R.Des.RochaPortela,
14B,R.Dr.PedroMendes,
14B,R.FernandesPereira,
14B,R.MajorGomesRibeiro,
14C,R.Des.RochaPortela,
14C,R.DemervalLessa,
14C,R.FernandesPereira,
14C,R.Dr.PedroMendes,
14D,R.FernandesPereira,
14D,R.DemervalLessa,
14D,R.ArturAlvim,
14D,R.Dr.PedroMendes,
14E,R.FernandesPereira,
14E,R.Dr.PedroMendes,
14E,R.ArturAlvim,
14E,Av.AntonioEstevãoDeCarvalho,
14F,R.ArturAlvim,
14F,R.Dr.PedroMendes,
14F,R.Brg.BritoDelamare,
14F,Av.AntonioEstevãoDeCarvalho,
14G,R.ArturAlvim,
14G,R.DemervalLessa,
14G,R.Brg.BritoDelamare,
14G,R.Dr.PedroMendes,
15A,AvDr.LuizAires(Radial),
15A,R.Dr.EmanuelDias,
15A,Av.ParaguaçuPaulista,
15A,R.DemervalLessa,
15B,R.HenriqueJacobs,
15B,Av.ParaguaçuPaulista,
15B,R.Dr.EmanuelDias,
15C,R.SantaAfra,
15C,Av.ParaguaçuPaulista,
15C,R.HenriqueJacobs,
15D,Av.MacielMonteiro,
15D,Av.ParaguaçuPaulista,
15D,R.SantaAfra,
15E,Av.ParaguaçuPaulista,
15E,Av.MacielMonteiro,
15E,R.Des.RochaPortela,
15E,R.SantaAfra,
15F,Av.ParaguaçuPaulista,
15F,R.SantaAfra,
15F,R.Des.RochaPortela,
15F,R.HenriqueJacobs,
15G,Av.ParaguaçuPaulista,
15G,R.HenriqueJacobs,
15G,R.Des.RochaPortela,
15G,R.Dr.EmanuelDias,
15H,Av.ParaguaçuPaulista,
15H,R.Dr.EmanuelDias,
15H,R.Des.RochaPortela,
15H,R.DemervalLessa,
16A,R.HenriqueJacobs,
16A,R.Brg.BritoDelamare,
16A,R.DemervalLessa,
16A,R.ArturAlvim,
16B,R.DemervalLessa,
16B,R.FernandesPereira,
16B,R.HenriqueJacobs,
16B,R.ArturAlvim,
16C,R.Dr.EmanuelDias,
16C,R.Des.RochaPortela,
16C,PçaCarlitoCâmara,
16C,R.HenriqueJacobs,
16C,R.FernandesPereira,
16D,R.HenriqueJacobs,
16D,R.Des.RochaPortela,
16D,Av.MacielMonteiro,
16D,R.FernandesPereira,
16E,R.HenriqueJacobs,
16E,R.FernandesPereira,
16E,Av.MacielMonteiro,
16E,R.ArturAlvim,
16F,R.HenriqueJacobs,
16F,R.ArturAlvim,
16F,Av.MacielMonteiro,
16F,R.Dr.UrbanoPereira,
16G,R.HenriqueJacobs,
16G,R.Dr.UrbanoPereira,
16G,Av.MacielMonteiro,
16G,Av.Dr.PereiraVergueiro,
16G,R.Pontal,
